filter_key,filter_label,threshold,path_n,benign_n,path_event_n,path_nonevent_n,benign_event_n,benign_nonevent_n,path_event_rate,benign_event_rate,odds_ratio,or_used_continuity_correction,bootstrap_ci2p5,bootstrap_ci97p5,fisher_pvalue,fisher_alternative
dcharge_eq_0,Δcharge = 0,0.15,1629,10449,239,1390,643,9806,0.14671577655003068,0.061536989185568,2.6221891538091455,False,2.2249454134197264,3.0719939984989284,6.301737211657788e-29,two-sided
dcharge_eq_0,Δcharge = 0,0.2,1629,10449,125,1504,255,10194,0.0767341927562922,0.02440424921045076,3.3225125156445556,False,2.6620237422272472,4.1122736418511066,7.573747926767448e-23,two-sided
dcharge_eq_0,Δcharge = 0,0.25,1629,10449,60,1569,93,10356,0.03683241252302026,0.008900373241458513,4.258311231727626,False,3.003822104373405,5.872234587026957,1.3796904944755687e-15,two-sided
dhydro_in_-5_5,-5 ≤ Δhydro ≤ 5,0.15,2437,13509,236,2201,571,12938,0.09684037751333607,0.04226811755126212,2.4295340996888055,False,2.056976382288512,2.83681755137002,4.6302393688952e-25,two-sided
dhydro_in_-5_5,-5 ≤ Δhydro ≤ 5,0.2,2437,13509,121,2316,216,13293,0.049651210504718914,0.015989340439706862,3.2152597869890616,False,2.5445396145610277,4.016117516223001,4.395461574316639e-21,two-sided
dhydro_in_-5_5,-5 ≤ Δhydro ≤ 5,0.25,2437,13509,57,2380,77,13432,0.023389413212966764,0.005699903767858464,4.17780202990287,False,2.9340863493902822,5.93508371270436,2.8906669102106224e-14,two-sided
idrlen_le_1000,IDR length ≤ 1000,0.15,2074,14051,263,1811,771,13280,0.12680810028929604,0.05487153939221408,2.5013876146706857,False,2.1452682437035766,2.8828757969828733,9.529136209862249e-30,two-sided
idrlen_le_1000,IDR length ≤ 1000,0.2,2074,14051,132,1942,298,13753,0.06364513018322084,0.02120845491424098,3.1369376343491453,False,2.521921059404039,3.834482619209253,8.619812283377463e-23,two-sided
idrlen_le_1000,IDR length ≤ 1000,0.25,2074,14051,66,2008,116,13935,0.03182256509161042,0.008255640167959577,3.948473347987361,False,2.862605000448839,5.325562601327734,5.50597398585757e-16,two-sided
none,no filtering,0.15,2888,15556,335,2553,839,14717,0.11599722991689751,0.05393417330933402,2.301713798578596,False,2.005357339528652,2.614268994021136,4.409058323134674e-31,two-sided
none,no filtering,0.2,2888,15556,168,2720,324,15232,0.05817174515235457,0.02082797634353304,2.903703703703704,False,2.3898772948421287,3.506021601683448,1.0658082860673978e-24,two-sided
none,no filtering,0.25,2888,15556,78,2810,123,15433,0.027008310249307478,0.007906916945230135,3.4828400312472874,False,2.610706710642497,4.640366396959434,1.280779686896338e-15,two-sided
