,L1_C_values,num_features_allowed,num_features_used,best_L2_C,roc_auc,pr_auc
0,0.0273,1,1,0.5,0.7388235294117648,0.885657122644285
1,0.030498734177215193,2,2,0.1,0.8270588235294117,0.9423892900917614
2,0.03369746835443038,3,3,0.05,0.8282352941176471,0.9383474714186976
3,0.03689620253164557,4,4,0.5,0.8094117647058823,0.9285322311905556
4,0.046492405063291144,5,5,0.1,0.8270588235294117,0.9282378504958353
5,0.05288987341772153,7,7,1.0,0.8576470588235294,0.9391379943549384
6,0.06568481012658228,8,8,0.1,0.8647058823529412,0.9438067395267867
7,0.06888354430379748,9,9,0.5,0.8705882352941177,0.9476936273660773
8,0.07847974683544305,11,11,0.1,0.9047058823529412,0.9647929689971789
9,0.08487721518987343,12,12,0.05,0.9,0.9627157218545145
10,0.08807594936708862,14,14,0.5,0.9117647058823529,0.9686255916508091
11,0.0912746835443038,15,15,0.1,0.9152941176470587,0.9699681485054779
12,0.10406962025316457,17,17,0.1,0.9141176470588235,0.9692389157757932
13,0.10726835443037977,18,18,0.5,0.9152941176470588,0.9691183656049125
14,0.11046708860759495,20,20,0.05,0.9235294117647059,0.973994547874442
15,0.11686455696202534,21,21,0.5,0.9211764705882353,0.9736046815104819
16,0.12006329113924052,22,22,0.5,0.9258823529411765,0.9753402874224415
17,0.1264607594936709,24,24,0.05,0.9294117647058823,0.9768525845227793
18,0.13285822784810128,25,25,0.05,0.9235294117647058,0.974720038403045
19,0.14565316455696203,26,26,0.05,0.92,0.9731829902057798
20,0.16164683544303798,27,27,0.1,0.9199999999999999,0.9735962441352425
21,0.16484556962025318,28,28,0.05,0.9223529411764706,0.9742021953772073
22,0.18083924050632913,29,29,0.05,0.9270588235294117,0.9760769402668967
23,0.18403797468354433,30,30,0.5,0.9223529411764706,0.9737603367504213
24,0.1904354430379747,31,31,0.05,0.9305882352941176,0.9772848596592508
25,0.21282658227848103,33,33,0.1,0.9176470588235295,0.9706959384375726
26,0.21922405063291142,34,34,0.05,0.9164705882352941,0.9701617130984899
27,0.23201898734177218,35,35,0.05,0.9164705882352941,0.9707874647206531
28,0.2544101265822785,36,36,0.1,0.9164705882352941,0.9709142730399896
29,0.2640063291139241,37,37,0.1,0.9223529411764706,0.9731343070204055
30,0.2736025316455697,38,38,0.1,0.9223529411764706,0.9737934047732042
31,0.27680126582278486,40,40,0.1,0.9235294117647058,0.9747120603853662
