GO_term,category,bin_edge,with_term_hist,without_term_hist
ALL_IDRs,molfunc,0.0,0.0,0.0
ALL_IDRs,molfunc,0.01,0.0,0.0
ALL_IDRs,molfunc,0.02,0.0,0.0
ALL_IDRs,molfunc,0.03,0.0008374680144318578,0.0
ALL_IDRs,molfunc,0.04,0.0019033363964360403,0.0
ALL_IDRs,molfunc,0.05,0.005075563723829444,0.0
ALL_IDRs,molfunc,0.06,0.012511264579239564,0.0
ALL_IDRs,molfunc,0.07,0.03184916236702976,0.0
ALL_IDRs,molfunc,0.08,0.0750168318381992,0.0
ALL_IDRs,molfunc,0.09,0.1487647727454408,0.0
ALL_IDRs,molfunc,0.1,0.2473829758994471,0.0
ALL_IDRs,molfunc,0.11,0.36285205061656695,0.0
ALL_IDRs,molfunc,0.12,0.5025061864777334,0.0
ALL_IDRs,molfunc,0.13,0.6314762607002394,0.0
ALL_IDRs,molfunc,0.14,0.7700137725421661,0.0
ALL_IDRs,molfunc,0.15,0.9133223142844881,0.0
ALL_IDRs,molfunc,0.16,1.0450078150992428,0.0
ALL_IDRs,molfunc,0.17,1.2143793765634345,0.0
ALL_IDRs,molfunc,0.18,1.4022513678009778,0.0
ALL_IDRs,molfunc,0.19,1.6403460620858168,0.0
ALL_IDRs,molfunc,0.2,1.9069654244985823,0.0
ALL_IDRs,molfunc,0.21,2.1960187785706635,0.0
ALL_IDRs,molfunc,0.22,2.561281721956049,0.0
ALL_IDRs,molfunc,0.23,2.9287779133799274,0.0
ALL_IDRs,molfunc,0.24,3.26889143851373,0.0
ALL_IDRs,molfunc,0.25,3.6217953842315906,0.0
ALL_IDRs,molfunc,0.26,3.8814358465240857,0.0
ALL_IDRs,molfunc,0.27,4.1214338772053605,0.0
ALL_IDRs,molfunc,0.28,4.327400253118383,0.0
ALL_IDRs,molfunc,0.29,4.4637806503776565,0.0
ALL_IDRs,molfunc,0.3,4.462790915451509,0.0
ALL_IDRs,molfunc,0.31,4.4289115275949476,0.0
ALL_IDRs,molfunc,0.32,4.298266517343579,0.0
ALL_IDRs,molfunc,0.33,4.138513149136046,0.0
ALL_IDRs,molfunc,0.34,3.891282440148315,0.0
ALL_IDRs,molfunc,0.35000000000000003,3.636489141212097,0.0
ALL_IDRs,molfunc,0.36,3.3644643034334383,0.0
ALL_IDRs,molfunc,0.37,3.069447161985852,0.0
ALL_IDRs,molfunc,0.38,2.7849110596279743,0.0
ALL_IDRs,molfunc,0.39,2.5099931505267525,0.0
ALL_IDRs,molfunc,0.4,2.2908556867504166,0.0
ALL_IDRs,molfunc,0.41000000000000003,2.0456298254336085,0.0
ALL_IDRs,molfunc,0.42,1.8084487326190477,0.0
ALL_IDRs,molfunc,0.43,1.6307786244663982,0.0
ALL_IDRs,molfunc,0.44,1.4492510878836384,0.0
ALL_IDRs,molfunc,0.45,1.2894469640388686,0.0
ALL_IDRs,molfunc,0.46,1.1432453509739617,0.0
ALL_IDRs,molfunc,0.47000000000000003,1.0141483876583655,0.0
ALL_IDRs,molfunc,0.48,0.8899239655176343,0.0
ALL_IDRs,molfunc,0.49,0.8051874291483019,0.0
ALL_IDRs,molfunc,0.5,0.7326576235347793,0.0
ALL_IDRs,molfunc,0.51,0.6440129030980981,0.0
ALL_IDRs,molfunc,0.52,0.572092165131435,0.0
ALL_IDRs,molfunc,0.53,0.5002983162578676,0.0
ALL_IDRs,molfunc,0.54,0.44175168870349507,0.0
ALL_IDRs,molfunc,0.55,0.406907943739406,0.0
ALL_IDRs,molfunc,0.56,0.3621922273324687,0.0
ALL_IDRs,molfunc,0.5700000000000001,0.32346567611965366,0.0
ALL_IDRs,molfunc,0.58,0.2767451120418001,0.0
ALL_IDRs,molfunc,0.59,0.2530422294515166,0.0
ALL_IDRs,molfunc,0.6,0.21880755213428701,0.0
ALL_IDRs,molfunc,0.61,0.20144912419879038,0.0
ALL_IDRs,molfunc,0.62,0.18665385594382755,0.0
ALL_IDRs,molfunc,0.63,0.16439750901483546,0.0
ALL_IDRs,molfunc,0.64,0.14561792323666656,0.0
ALL_IDRs,molfunc,0.65,0.1353145288772928,0.0
ALL_IDRs,molfunc,0.66,0.12254948611186177,0.0
ALL_IDRs,molfunc,0.67,0.1149868961633559,0.0
ALL_IDRs,molfunc,0.68,0.10247563158411634,0.0
ALL_IDRs,molfunc,0.6900000000000001,0.09196921467578939,0.0
ALL_IDRs,molfunc,0.7000000000000001,0.08029541811098259,0.0
ALL_IDRs,molfunc,0.71,0.07384945218171832,0.0
ALL_IDRs,molfunc,0.72,0.06874851063926973,0.0
ALL_IDRs,molfunc,0.73,0.05735387007927264,0.0
ALL_IDRs,molfunc,0.74,0.055958090055219546,0.0
ALL_IDRs,molfunc,0.75,0.04852238919980942,0.0
ALL_IDRs,molfunc,0.76,0.04481722768141393,0.0
ALL_IDRs,molfunc,0.77,0.03895495158039093,0.0
ALL_IDRs,molfunc,0.78,0.033067297660748785,0.0
ALL_IDRs,molfunc,0.79,0.03365098748898917,0.0
ALL_IDRs,molfunc,0.8,0.0302249819754043,0.0
ALL_IDRs,molfunc,0.81,0.025047906977098272,0.0
ALL_IDRs,molfunc,0.8200000000000001,0.021266612002845343,0.0
ALL_IDRs,molfunc,0.8300000000000001,0.020403766169794564,0.0
ALL_IDRs,molfunc,0.84,0.020073854527745422,0.0
ALL_IDRs,molfunc,0.85,0.01829740722440512,0.0
ALL_IDRs,molfunc,0.86,0.017104649749305204,0.0
ALL_IDRs,molfunc,0.87,0.016216426097635052,0.0
ALL_IDRs,molfunc,0.88,0.01235899766752468,0.0
ALL_IDRs,molfunc,0.89,0.01144539619723538,0.0
ALL_IDRs,molfunc,0.9,0.008856858698082368,0.0
ALL_IDRs,molfunc,0.91,0.009364415070465312,0.0
ALL_IDRs,molfunc,0.92,0.007638723404363303,0.0
ALL_IDRs,molfunc,0.93,0.004644140807303935,0.0
ALL_IDRs,molfunc,0.9400000000000001,0.0022078702198658055,0.0
ALL_IDRs,molfunc,0.9500000000000001,0.0027915600481062215,0.0
ALL_IDRs,molfunc,0.96,0.0022586258571040997,0.0
ALL_IDRs,molfunc,0.97,0.001903336396436039,0.0
ALL_IDRs,molfunc,0.98,2.537781861914719e-05,0.0
ALL_IDRs,molfunc,0.99,0.0,0.0
ATP binding,molfunc,0.0,0.0,0.0
ATP binding,molfunc,0.01,0.0,0.0
ATP binding,molfunc,0.02,0.0,0.0
ATP binding,molfunc,0.03,0.004189242026476009,0.0005024579966050587
ATP binding,molfunc,0.04,0.0016756968105904036,0.0019260889869860585
ATP binding,molfunc,0.05,0.0002792828017650675,0.005554952295800376
ATP binding,molfunc,0.06,0.005027090431771207,0.013259308243744595
ATP binding,molfunc,0.07,0.00893704965648216,0.03413922943599929
ATP binding,molfunc,0.08,0.030162542590627284,0.07950002079617823
ATP binding,molfunc,0.09,0.049433055912416875,0.15869298392776426
ATP binding,molfunc,0.1,0.08266770932245997,0.26384627688394546
ATP binding,molfunc,0.11,0.1519298441601967,0.3839337380725546
ATP binding,molfunc,0.12,0.23348042227559607,0.5293953280897185
ATP binding,molfunc,0.13,0.29324694185332045,0.6652823018382419
ATP binding,molfunc,0.14,0.43903256437468663,0.8030953645737539
ATP binding,molfunc,0.15,0.5683405015919115,0.9478032675960085
